dimension: 1, Threshold: 5
dimension: 2, Threshold: 4
dimension: 3, Threshold: 33
dimension: 4, Threshold: 45
dimension: 5, Threshold: 10
dimension: 6, Threshold: 18
dimension: 7, Threshold: 86
dimension: 8, Threshold: 27
dimension: 9, Threshold: 19
dimension: 10, Threshold: 17
dimension: 11, Threshold: 92
dimension: 12, Threshold: 89
dimension: 13, Threshold: 45
dimension: 14, Threshold: 18
dimension: 15, Threshold: 18
dimension: 16, Threshold: 17
dimension: 17, Threshold: 45
dimension: 18, Threshold: 80
dimension: 19, Threshold: 92
dimension: 20, Threshold: 42
dimension: 21, Threshold: 64
dimension: 22, Threshold: 39
dimension: 23, Threshold: 86
dimension: 24, Threshold: 65
dimension: 25, Threshold: 71
dimension: 26, Threshold: 62
dimension: 27, Threshold: 77
dimension: 28, Threshold: 45
dimension: 29, Threshold: 54
dimension: 30, Threshold: 88
dimension: 31, Threshold: 68
dimension: 32, Threshold: 35
dimension: 33, Threshold: 51
dimension: 34, Threshold: 44
dimension: 35, Threshold: 52
dimension: 36, Threshold: 39
dimension: 37, Threshold: 40
dimension: 38, Threshold: 41
dimension: 39, Threshold: 62
dimension: 40, Threshold: 51
dimension: 41, Threshold: 39
dimension: 42, Threshold: 47
dimension: 43, Threshold: 45
dimension: 44, Threshold: 35
dimension: 45, Threshold: 62
dimension: 46, Threshold: 49
dimension: 47, Threshold: 59
dimension: 48, Threshold: 55
dimension: 49, Threshold: 46
dimension: 50, Threshold: 50
